permission.meetings.all,All Meetings,All Meetings
permission.meetings.view,View Meetings,View Meetings
permission.meetings.create,Create Meetings,Create Meetings
permission.meetings.new,New Meeting,New Meeting
permission.meetings.save,Save Meeting,Save Meeting
permission.meetings.edit,Edit Meeting,Edit Meeting
permission.meetings.delete,Delete Meeting,Delete Meeting
permission.tasks.addManpower,Add Manpower,Add Manpower
permission.materials.all,All Materials,All Materials
permission.tasks.addMaterial,Add Material,Add Material
permission.tasks.addMachine,Add Machine,Add Machine
permission.machines.all,All Machines,All Machines
permission.manpower.all,All Manpower,All Manpower
permission.tasks.addFiles,Add Files,Add Files
permission.tasks.deleteItem,Delete Items,Delete Items
permission.wbs.delete,Delete Wbs,Delete Wbs
permission.settings.all,All Settings,All Settings
permission.settings.view,View Settings,View Settings
permission.settings.autoNumbers,View AutoNumbers,View AutoNumbers
permission.settings.addAutoNumbers,Add AutoNumbers,Add AutoNumbers
permission.settings.editAutoNumbers,Edit AutoNumbers,Edit AutoNumbers
permission.settings.deleteAutoNumbers,Delete AutoNumbers,Delete AutoNumbers
permission.settings.lovs,View List of Values,View List of Values
permission.settings.addLovs,Add List of Values,Add List of Values
permission.settings.editLovs,Edit List of Values,Edit List of Values
permission.settings.deleteLovs,Delete List of Values,Delete List of Values
permission.settings.customProperties,View CustomProperties,View CustomProperties
permission.settings.addCustomProperties,Add CustomProperties,Add CustomProperties
permission.settings.editCustomProperties,Edit CustomProperties,Edit CustomProperties
permission.settings.deleteCustomProperties,Delete CustomProperties,Delete CustomProperties
permission.suppliers.all,All Suppliers,All Suppliers
permission.suppliers.view,View Suppliers,View Suppliers
permission.suppliers.new,New Supplier,New Supplier
permission.suppliers.edit,Edit Suppliers,Edit Suppliers
permission.media.all,All Media,All Media
permission.media.view,View Media,View Media
permission.media.upload,Upload Media,Upload Media
permission.stockReturn.all,All Stock Returns,All Stock Returns
permission.stockReturn.view,View Stock Returns,View Stock Returns
permission.stockReturn.create,Create New Stock Return,Create New Stock Return
permission.stockReturn.edit,Edit Stock Return,Edit Stock Return
permission.stockReturn.approve,Approve Stock Return,Approve Stock Return
permission.contractors.all, All Contractors, All Contractors
permission.contractors.view, View Contractors, View Contractors
permission.contractors.new, Create Contractor, Create Contractor
permission.contractors.editBasic, Edit Details, Edit Details
permission.contractors.delete, Delete Contractor, Delete Contractor
permission.workOrders.all, All Work Orders, All Work Orders
permission.workOrders.view, View Work Orders, View Work Orders
permission.workOrders.new, Create Work Order, Create Work Order
permission.workOrders.editBasic, Edit Details, Edit Details
permission.workOrders.delete, Delete Work Order, Delete Work Order
permission.workOrders.items, View Work Order Items,View Work Order Items
permission.workflow.all,All Workflow,All Workflow
permission.workflow.view,View Workflow,View Workflow
permission.workflow.new,Create Workflow,Create Workflow
permission.workflow.edit,Edit Workflow,Edit Workflow
permission.projectMaterialReport,ProjectMaterialReport,ProjectMaterialReport
permission.workStatusReport,WorkStatusReport,WorkStatusReport
permission.storePositionReport,StorePositionReport,StorePositionReport
permission.monthlyStockReport,MonthlyStockReport,MonthlyStockReport
permission.stockReceiveReport,StockReceiveReport,StockReceiveReport
permission.stockIssueReport,StockIssueReport,StockIssueReport
