To view the OEM Part MCO objects,To view the OEM Part MCO objects,oempartmco,,view,PM,,
To create the OEM Part MCO objects,To create the OEM Part MCO objects,oempartmco,,create,PM,,
To edit the OEM Part MCO objects,To edit the OEM Part MCO objects,oempartmco,,edit,PM,,
To delete the OEM Part MCO objects,To delete OEM Part the MCO objects,oempartmco,,delete,PM,,
All DCO,All DCO,change,dco,all,PE,,
To view the DCO objects,To view the DCO objects,change,dco,view,PE,,
To create the DCO objects,To create the DCO objects,change,dco,create,PE,,
To edit the DCO objects,To edit the DCO objects,change,dco,edit,PE,,
To delete the DCO objects,To delete the DCO objects,change,dco,delete,PE,,
All DCR,All DCRs,change,dcr,all,PE,,
To view the DCR objects,To view the DCR objects,change,dcr,view,PE,,
To create the DCR objects,To create the DCR objects,change,dcr,create,PE,,
To edit the DCR objects,To edit the DCR objects,change,dcr,edit,PE,,
To delete the DCR objects,To delete the DCR objects,change,dcr,delete,PE,,
All Deviations,All Deviations,change,deviation,all,PM,,
To view the Deviation objects,To view the Deviation objects,change,deviation,view,PM,,
To create the Deviation objects,To create the Deviation objects,change,deviation,create,PM,,
To edit the Deviation objects,To edit the Deviation objects,change,deviation,edit,PM,,
To delete the Deviation objects,To delete the Deviation objects,change,deviation,delete,PM,,
All Waivers,All Waivers,change,waiver,all,PM,,
To view the Waiver objects,To view the Waiver objects,change,waiver,view,PM,,
To create the Waiver objects,To create the Waiver objects,change,waiver,create,PM,,
To edit the Waiver objects,To edit the Waiver objects,change,waiver,edit,PM,,
To delete the Waiver objects,To delete the Waiver objects,change,waiver,delete,PM,,
To audit the QCRs objects,To audit the QCRs objects,qcr,,audit,PM,,
All Manufacturer Parts,All Manufacturer Parts,manufacturerpart,,all,PM,,
To view the Manufacturer Parts objects,To view the Manufacturer Parts objects,manufacturerpart,,view,PM,,
To create the Manufacturer Parts objects,To create the Manufacturer Parts objects,manufacturerpart,,create,PM,,
To edit the Manufacturer Parts objects,To edit the Manufacturer Parts objects,manufacturerpart,,edit,PM,,
To delete the Manufacturer Parts objects,To delete the Manufacturer Parts objects,manufacturerpart,,delete,PM,,
All Plants,All Plants,plant,,all,PM,,
To view the Plant objects,To view the Plant objects,plant,,view,PM,,
To create the Plant objects,To create the Plant objects,plant,,create,PM,,
To edit the Plant objects,To edit the Plant objects,plant,,edit,PM,,
To delete the Plant objects,To delete the Plant objects,plant,,delete,PM,,
All WorkCenters,All WorkCenters,workcenter,,all,PM,,
To view the WorkCenter objects,To view the WorkCenter objects,workcenter,,view,PM,,
To create the WorkCenter objects,To create the WorkCenter objects,workcenter,,create,PM,,
To edit the WorkCenter objects,To edit the WorkCenter objects,workcenter,,edit,PM,,
To delete the WorkCenter objects,To delete the WorkCenter objects,workcenter,,delete,PM,,
All Machines,All Machine,machine,,all,PM,,
To view the Machine objects,To view the Machine objects,machine,,view,PM,,
To create the Machine objects,To create the Machine objects,machine,,create,PM,,
To edit the Machine objects,To edit the Machine objects,machine,,edit,PM,,
To delete the Machine objects,To delete the Machine objects,machine,,delete,PM,,
All Equipments,All Equipments,equipment,,all,PM,,
To view the Equipment objects,To view the Equipment objects,equipment,,view,PM,,
To create the Equipment objects,To create the Equipment objects,equipment,,create,PM,,
To edit the Equipment objects,To edit the Equipment objects,equipment,,edit,PM,,
To delete the Equipment objects,To delete the Equipment objects,equipment,,delete,PM,,
All Instruments,All Instruments,instrument,,all,PM,,
To view the Instrument objects,To view the Instrument objects,instrument,,view,PM,,
To create the Instrument objects,To create the Instrument objects,instrument,,create,PM,,
To edit the Instrument objects,To edit the Instrument objects,instrument,,edit,PM,,
To delete the Instrument objects,To delete the Instrument objects,instrument,,delete,PM,,
All Tools,All Tools,tool,,all,PM,,
To view the Tool objects,To view the Tool objects,tool,,view,PM,,
To create the Tool objects,To create the Tool objects,tool,,create,PM,,
To edit the Tool objects,To edit the Tool objects,tool,,edit,PM,,
To delete the Tool objects,To delete the Tool objects,tool,,delete,PM,,
All JigFixtures,All JigFixtures,jigfixture,,all,PM,,
To view the JigFixture objects,To view the JigFixture objects,jigfixture,,view,PM,,
To create the JigFixture objects,To create the JigFixture objects,jigfixture,,create,PM,,
To edit the JigFixture objects,To edit the JigFixture objects,jigfixture,,edit,PM,,
To delete the JigFixture objects,To delete the JigFixture objects,jigfixture,,delete,PM,,
All Materials,All Materials,material,,all,PM,,
To view the Material objects,To view the Material objects,material,,view,PM,,
To create the Material objects,To create the Material objects,material,,create,PM,,
To edit the Material objects,To edit the Material objects,material,,edit,PM,,
To delete the Material objects,To delete the Material objects,material,,delete,PM,,
All Manpowers,All Manpowers,manpower,,all,PM,,
To view the Manpower objects,To view the Manpower objects,manpower,,view,PM,,
To create the Manpower objects,To create the Manpower objects,manpower,,create,PM,,
To edit the Manpower objects,To edit the Manpower objects,manpower,,edit,PM,,
To delete the Manpower objects,To delete the Manpower objects,manpower,,delete,PM,,
All Shifts,All Shifts,shift,,all,PM,,
To view the Shift objects,To view the Shift objects,shift,,view,PM,,
To create the Shift objects,To create the Shift objects,shift,,create,PM,,
To edit the Shift objects,To edit the Shift objects,shift,,edit,PM,,
To delete the Shift objects,To delete the Shift objects,shift,,delete,PM,,
All Operations,All Operations,operation,,all,PM,,
To view the Operation objects,To view the Operation objects,operation,,view,PM,,
To create the Operation objects,To create the Operation objects,operation,,create,PM,,
To edit the Operation objects,To edit the Operation objects,operation,,edit,PM,,
To delete the Operation objects,To delete the Operation objects,operation,,delete,PM,,
All ProductionOrders,All ProductionOrders,productionorder,,all,PM,,
To view the ProductionOrder objects,To view the ProductionOrder objects,productionorder,,view,PM,,
To create the ProductionOrder objects,To create the ProductionOrder objects,productionorder,,create,PM,,
To edit the ProductionOrder objects,To edit the ProductionOrder objects,productionorder,,edit,PM,,
To delete the ProductionOrder objects,To delete the ProductionOrder objects,productionorder,,delete,PM,,
All ServiceOrders,All ServiceOrders,serviceorder,,all,PM,,
To view the ServiceOrder objects,To view the ServiceOrder objects,serviceorder,,view,PM,,
To create the ServiceOrder objects,To create the ServiceOrder objects,serviceorder,,create,PM,,
To edit the ServiceOrder objects,To edit the ServiceOrder objects,serviceorder,,edit,PM,,
To delete the ServiceOrder objects,To delete the ServiceOrder objects,serviceorder,,delete,PM,,
All MROAssets,All MROAssets,mroasset,,all,PM,,
To view the MROAsset objects,To view the MROAsset objects,mroasset,,view,PM,,
To create the MROAsset objects,To create the MROAsset objects,mroasset,,create,PM,,
To edit the MROAsset objects,To edit the MROAsset objects,mroasset,,edit,PM,,
To delete the MROAsset objects,To delete the MROAsset objects,mroasset,,delete,PM,,
All MROMeters,All MROMeters,mrometer,,all,PM,,
To view the MROMeter objects,To view the MROMeter objects,mrometer,,view,PM,,
To create the MROMeter objects,To create the MROMeter objects,mrometer,,create,PM,,
To edit the MROMeter objects,To edit the MROMeter objects,mrometer,,edit,PM,,
To delete the MROMeter objects,To delete the MROMeter objects,mrometer,,delete,PM,,
All MROSpareParts,All MROSpareParts,mrosparepart,,all,PM,,
To view the MROSparePart objects,To view the MROSparePart objects,mrosparepart,,view,PM,,
To create the MROSparePart objects,To create the MROSparePart objects,mrosparepart,,create,PM,,
To edit the MROSparePart objects,To edit the MROSparePart objects,mrosparepart,,edit,PM,,
To delete the MROSparePart objects,To delete the MROSparePart objects,mrosparepart,,delete,PM,,
All MROMaintenancePlans,All MROMaintenancePlans,mromaintenanceplan,,all,PM,,
To view the MROMaintenancePlan objects,To view the MROMaintenancePlan objects,mromaintenanceplan,,view,PM,,
To create the MROMaintenancePlan objects,To create the MROMaintenancePlan objects,mromaintenanceplan,,create,PM,,
To edit the MROMaintenancePlan objects,To edit the MROMaintenancePlan objects,mromaintenanceplan,,edit,PM,,
To delete the MROMaintenancePlan objects,To delete the MROMaintenancePlan objects,mromaintenanceplan,,delete,PM,,
All MROWorkRequests,All MROWorkRequests,mroworkrequest,,all,PM,,
To view the MROWorkRequest objects,To view the MROWorkRequest objects,mroworkrequest,,view,PM,,
To create the MROWorkRequest objects,To create the MROWorkRequest objects,mroworkrequest,,create,PM,,
To edit the MROWorkRequest objects,To edit the MROWorkRequest objects,mroworkrequest,,edit,PM,,
To delete the MROWorkRequest objects,To delete the MROWorkRequest objects,mroworkrequest,,delete,PM,,
All MROWorkOrders,All MROWorkOrders,mroworkorder,,all,PM,,
To view the MROWorkOrder objects,To view the MROWorkOrder objects,mroworkorder,,view,PM,,
To create the MROWorkOrder objects,To create the MROWorkOrder objects,mroworkorder,,create,PM,,
To edit the MROWorkOrder objects,To edit the MROWorkOrder objects,mroworkorder,,edit,PM,,
To delete the MROWorkOrder objects,To delete the MROWorkOrder objects,mroworkorder,,delete,PM,,
All MFRSuppliers,All MFRSuppliers,mfrsupplier,,all,PM,,
To view the MFRSupplier objects,To view the MFRSupplier objects,mfrsupplier,,view,PM,,
To create the MFRSupplier objects,To create the MFRSupplier objects,mfrsupplier,,create,PM,,
To edit the MFRSupplier objects,To edit the MFRSupplier objects,mfrsupplier,,edit,PM,,
To delete the MFRSupplier objects,To delete the MFRSupplier objects,mfrsupplier,,delete,PM,,
All PGCSubstances,All PGCSubstances,pgcsubstance,,all,PE,,
To view the PGCSubstance objects,To view the PGCSubstance objects,pgcsubstance,,view,PE,,
